ts,ts_ns,mid,inventory,cash,realized,unrealized,equity
2025-08-26 08:07:03+00:00,1756195623000000000,110119.5,,,,,
2025-08-26 08:07:04+00:00,1756195624000000000,124027.745,,,,,
2025-08-26 08:07:05+00:00,1756195625000000000,110313.74,0.2,-22106.010318,0.0,-38.84199999999837,-22138.159074935127
2025-08-26 08:07:06+00:00,1756195626000000000,110313.72,0.2,-22106.010318,0.0,-38.84199999999837,-22138.163074935128
2025-08-26 08:07:07+00:00,1756195627000000000,110313.715,0.2,-22106.010318,0.0,-38.84199999999837,-22138.164074935128
2025-08-26 08:07:08+00:00,1756195628000000000,110313.715,0.2,-22106.010318,0.0,-38.84199999999837,-22138.164074935128
2025-08-26 08:07:09+00:00,1756195629000000000,110313.715,0.2,-22106.010318,0.0,-38.84199999999837,-22138.164074935128
2025-08-26 08:07:10+00:00,1756195630000000000,110313.73,0.2,-22106.010318,0.0,-38.84199999999837,-22138.16107493513
2025-08-26 08:07:11+00:00,1756195631000000000,110313.74,0.2,-22106.010318,0.0,-38.84199999999837,-22138.159074935127
2025-08-26 08:07:12+00:00,1756195632000000000,110313.74,0.2,-22106.010318,0.0,-38.84199999999837,-22138.159074935127
2025-08-26 08:07:13+00:00,1756195633000000000,110313.74,0.2,-22106.010318,0.0,-38.84199999999837,-22138.159074935127
2025-08-26 08:07:14+00:00,1756195634000000000,110313.75,0.2,-22106.010318,0.0,-38.84199999999837,-22138.15707493513
2025-08-26 08:07:15+00:00,1756195635000000000,110313.785,0.2,-22106.010318,0.0,-38.84199999999837,-22138.15007493513
2025-08-26 08:07:16+00:00,1756195636000000000,110313.74,0.2,-22106.010318,0.0,-38.84199999999837,-22138.159074935127
2025-08-26 08:07:17+00:00,1756195637000000000,110313.76,0.2,-22106.010318,0.0,-38.84199999999837,-22138.15507493513
2025-08-26 08:07:18+00:00,1756195638000000000,110313.8,0.2,-22106.010318,0.0,-38.84199999999837,-22138.14707493513
2025-08-26 08:07:19+00:00,1756195639000000000,110313.79,0.2,-22106.010318,0.0,-38.84199999999837,-22138.14907493513
2025-08-26 08:07:20+00:00,1756195640000000000,110313.78,0.2,-22106.010318,0.0,-38.84199999999837,-22138.15107493513
2025-08-26 08:07:21+00:00,1756195641000000000,110313.795,0.2,-22106.010318,0.0,-38.84199999999837,-22138.14807493513
2025-08-26 08:07:22+00:00,1756195642000000000,110313.775,0.2,-22106.010318,0.0,-38.84199999999837,-22138.15207493513
2025-08-26 08:07:23+00:00,1756195643000000000,110313.755,0.2,-22106.010318,0.0,-38.84199999999837,-22138.156074935127
2025-08-26 08:07:24+00:00,1756195644000000000,110313.72,0.2,-22106.010318,0.0,-38.84199999999837,-22138.163074935128
2025-08-26 08:07:25+00:00,1756195645000000000,110313.745,0.2,-22106.010318,0.0,-38.84199999999837,-22138.15807493513
2025-08-26 08:07:26+00:00,1756195646000000000,110313.715,0.2,-22106.010318,0.0,-38.84199999999837,-22138.164074935128
2025-08-26 08:07:27+00:00,1756195647000000000,110313.715,0.2,-22106.010318,0.0,-38.84199999999837,-22138.164074935128
2025-08-26 08:07:28+00:00,1756195648000000000,110313.705,0.2,-22106.010318,0.0,-38.84199999999837,-22138.16607493513
2025-08-26 08:07:29+00:00,1756195649000000000,110313.695,0.2,-22106.010318,0.0,-38.84199999999837,-22138.16807493513
2025-08-26 08:07:30+00:00,1756195650000000000,110313.685,0.2,-22106.010318,0.0,-38.84199999999837,-22138.17007493513
2025-08-26 08:07:31+00:00,1756195651000000000,110313.655,0.2,-22106.010318,0.0,-38.84199999999837,-22138.17607493513
2025-08-26 08:07:32+00:00,1756195652000000000,110313.62,0.2,-22106.010318,0.0,-38.84199999999837,-22138.18307493513
2025-08-26 08:07:33+00:00,1756195653000000000,110313.595,0.2,-22106.010318,0.0,-38.84199999999837,-22138.18807493513
2025-08-26 08:07:34+00:00,1756195654000000000,110313.555,0.2,-22106.010318,0.0,-38.84199999999837,-22138.19607493513
2025-08-26 08:07:35+00:00,1756195655000000000,110313.54,0.2,-22106.010318,0.0,-38.84199999999837,-22138.19907493513
2025-08-26 08:07:36+00:00,1756195656000000000,110313.57,0.2,-22106.010318,0.0,-38.84199999999837,-22138.193074935127
2025-08-26 08:07:37+00:00,1756195657000000000,110313.565,0.2,-22106.010318,0.0,-38.84199999999837,-22138.194074935127
2025-08-26 08:07:38+00:00,1756195658000000000,110313.56,0.2,-22106.010318,0.0,-38.84199999999837,-22138.19507493513
2025-08-26 08:07:39+00:00,1756195659000000000,110313.595,0.2,-22106.010318,0.0,-38.84199999999837,-22138.18807493513
2025-08-26 08:07:40+00:00,1756195660000000000,110313.63,0.2,-22106.010318,0.0,-38.84199999999837,-22138.181074935128
2025-08-26 08:07:41+00:00,1756195661000000000,110313.605,0.2,-22106.010318,0.0,-38.84199999999837,-22138.18607493513
2025-08-26 08:07:42+00:00,1756195662000000000,110313.62,0.2,-22106.010318,0.0,-38.84199999999837,-22138.18307493513
2025-08-26 08:07:43+00:00,1756195663000000000,110313.645,0.2,-22106.010318,0.0,-38.84199999999837,-22138.178074935127
2025-08-26 08:07:44+00:00,1756195664000000000,110313.67,0.2,-22106.010318,0.0,-38.84199999999837,-22138.17307493513
2025-08-26 08:07:45+00:00,1756195665000000000,110313.705,0.2,-22106.010318,0.0,-38.84199999999837,-22138.16607493513
2025-08-26 08:07:46+00:00,1756195666000000000,110313.74,0.2,-22106.010318,0.0,-38.84199999999837,-22138.159074935127
2025-08-26 08:07:47+00:00,1756195667000000000,110313.76,0.2,-22106.010318,0.0,-38.84199999999837,-22138.15507493513
2025-08-26 08:07:48+00:00,1756195668000000000,110313.795,0.2,-22106.010318,0.0,-38.84199999999837,-22138.14807493513
2025-08-26 08:07:49+00:00,1756195669000000000,110313.83,0.2,-22106.010318,0.0,-38.84199999999837,-22138.141074935127
2025-08-26 08:07:50+00:00,1756195670000000000,110313.85,0.2,-22106.010318,0.0,-38.84199999999837,-22138.137074935126
2025-08-26 08:07:51+00:00,1756195671000000000,110313.885,0.2,-22106.010318,0.0,-38.84199999999837,-22138.13007493513
2025-08-26 08:07:52+00:00,1756195672000000000,110313.92,0.2,-22106.010318,0.0,-38.84199999999837,-22138.12307493513
2025-08-26 08:07:53+00:00,1756195673000000000,110313.95,0.2,-22106.010318,0.0,-38.84199999999837,-22138.11707493513
2025-08-26 08:07:54+00:00,1756195674000000000,110313.98,0.2,-22106.010318,0.0,-38.84199999999837,-22138.11107493513
2025-08-26 08:07:55+00:00,1756195675000000000,110313.975,0.2,-22106.010318,0.0,-38.84199999999837,-22138.11207493513
2025-08-26 08:07:56+00:00,1756195676000000000,110313.99,0.2,-22106.010318,0.0,-38.84199999999837,-22138.109074935128
2025-08-26 08:07:57+00:00,1756195677000000000,110314.025,0.2,-22106.010318,0.0,-38.84199999999837,-22138.10207493513
2025-08-26 08:07:58+00:00,1756195678000000000,110314.025,0.2,-22106.010318,0.0,-38.84199999999837,-22138.10207493513
2025-08-26 08:07:59+00:00,1756195679000000000,110314.06,0.2,-22106.010318,0.0,-38.84199999999837,-22138.09507493513
2025-08-26 08:08:00+00:00,1756195680000000000,110314.05,0.2,-22106.010318,0.0,-38.84199999999837,-22138.09707493513
2025-08-26 08:08:01+00:00,1756195681000000000,110314.09,0.2,-22106.010318,0.0,-38.84199999999837,-22138.08907493513
2025-08-26 08:08:02+00:00,1756195682000000000,110314.105,0.2,-22106.010318,0.0,-38.84199999999837,-22138.08607493513
